Abstract,Choose,Article Title
"A novel food such as plant cell culture (PCC) is an important complementary asset for traditional agriculture to tackle global food insecurity. To evaluate environmental impacts of PCC, a life cycle assessment was applied to tobacco bright yellow-2 and cloudberry PCCs. Global warming potential (GWP), freshwater eutrophication potential (FEUP), marine eutrophication potential, terrestrial acidification potential (TAP), stratospheric ozone depletion, water consumption and land use were assessed. The results showed particularly high contributions (82-93%) of electricity consumption to GWP, FEUP and TAP. Sensitivity analysis indicated that using wind energy instead of the average Finnish electricity mix reduced the environmental impacts by 34-81%. Enhancement in the energy efficiency of bioreactor mixing processes and reduction in cultivation time also effectively improved the environmental performance (4-47% reduction of impacts). In comparison with other novel foods, the environmental impacts of the PCC products studied were mostly comparable to those of microalgae products but higher than those of microbial protein products produced by autotrophic hydrogen-oxidizing bacteria. Assayed fresh PCC products were similar or close to GWP of conventionally grown food products and, with technological advancements, can be highly competitive.",1.0,Life cycle assessment of plant cell cultures
"In this study, the performance of AgNPs-priming (20, 40, and 80 mg/L) on the seed germination, yield, and nutritional quality of Chinese cabbage were evaluated. We found that AgNPs-priming at 20 and 40 mg/L for 15 h significantly accelerated seed germination speed and seedling development. Cabbage seeds primed with different concentrations of AgNPs (0, 20, 40, and 80 mg/L) were then planted in a real soil and allowed to grow for 1 month in greenhouse. Results showed that AgNPs-priming at 40 mg/L significantly increased cabbage yield by 44.3%. Gas chromatography-mass spectrometry (GC-MS) combining with sparse partial least squares-discriminant analysis (sPLS-DA) reveals that AgNPs priming altered the metabolite profile of cabbage leaves in a dose-dependent manner, decreasing carbohydrates and increasing nitrogen related compounds. This indicates that the metabolic stimulation during germination stage can influence the entire life cycle of cabbage. The nutritional quality of cabbage edible leaves was evaluated by liquid chromatography with tandem mass spectrometry (LC-MS/MS) and inductively coupled plasma-mass spectrometry (ICP-MS). Results showed that AgNPs-priming at all tested concentrations significantly increased the content of essential amino acids for several folds in cabbage leaves, including alanine, aspartic acid, glutamine, glutamic acid, histidine, isoleucine, leucine, lysine, phenylalanine, proline, serine, threonine, tyrosine, and valine. Meanwhile, AgNPspriming (40 mg/L) significantly increased iron (Fe) content by 23.8% in cabbage leaves. Ag did not bioaccumulate in edible tissues, indicating the bio-safety of AgNPs-priming. These results suggest that AgNPs-priming is a low-cost and eco-friendly approach to increase crop yield and nutritional quality.",0.0,AgNPs seed priming accelerated germination speed and altered nutritional profile of Chinese cabbage
"Drained peatlands are a large emission source and a shift to paludiculture (rewetting and cultivation of wettolerant plants) is emerging as a potential emission reduction measure. Paludiculture can potentially results in emission savings from direct emissions, product substitution and carbon storage, but the whole life cycle climate impacts are rarely studied. In this study, we evaluated two paludiculture product systems (cattail (Typha) construction board and common reed (Phragmites) horticultural vermicompost) with cradle-to-grave life cycle assessment (LCA) applied global sensitivity analysis to identify, which parts of the product system would need more research and product development to ensure net emission savings. Based on the results, both product systems result in much lower emissions than current agricultural land use and may be net greenhouse gas sinks (average - 6.0 tCO2eq ha-1 for cattail board; -3.0 tCO2eq ha-1 for reed growing media). The uncertainty in the product life cycle is concentrated to a few key processes: the direct CO2 and CH4 emissions from paludiculture, construction board additives, and CH4 emissions from vermicomposting reed. Further research to these would minimize the uncertainty and help in maximizing the climate mitigation potential of paludiculture derived products.",1.0,Effects of paludiculture products on reducing greenhouse gas emissions from agricultural peatlands
"BACKGROUND Broflanilide has been registered in China for the control of Lepidoptera and Coleoptera pests, and is widely used to control the target pests at lethal and sublethal levels. The lethal and sublethal effects of broflanilide on the common cutworm (CCW) Spodoptera litura Fabricius, a representative Lepidopteran pest in agricultural crops, were examined to explore its ecological influence on pests. RESULTS In F-0, broflanilide had little influence on the hatchability of eggs, but significantly reduced the neonate survival rate. The lethal activity of broflanilide towards third-instar larvae and adults was 0.13 mg kg(-1) (LD50) and 3.59 mg L-1 (LC50) respectively at 48 h. After being treated with a sublethal dose (LD10 and LD30) of broflanilide, the duration of third- to sixth-instar larvae and the mean fecundity of reproductive females were significantly increased, but pupation rate, weight of pupae and life-cycle rate were significantly decreased. In F-1, the duration of F-1 larvae and the doubling time were prolonged, whereas the rates of pupation and the life cycle were decreased by 14.92% and 18.00%, respectively. The intrinsic rate of increase, finite rate of increase and net reproductive rate in the sublethal group were lower than in the control group. The relative fitness of F-1 treated by LD10 and LD30 was 0.81 and 0.66, respectively. CONSLUSION Broflanilide not only has highly lethal activity, but also suppresses the population growth and progeny of CCW, as a critical factor for guidelines of its usage in the field.",0.0,"Novel meta-diamide insecticide, broflanilide, suppresses the population of common cutworm Spodoptera litura through its lethal and sublethal effects"
"Currently, coal is the most widely used feedstock for electricity generation, including South Africa with a 77% dependence. However, coal-fired power stations also result in adverse environmental impacts, including air, water and soil pollution. The conversion of biomass, such as maize cobs and other agricultural residues, to electricity, could play a vital role in reducing the dependency on coal power in South Africa as well as reducing these environmental impacts. However, there are very few environmental impact studies in the country to address the production or preparation phase of energy feedstocks for electricity production. This study used life-cycle assessment (LCA) to evaluate the environmental burdens associated with the production of maize and wheat, and the extraction of residue (maize cobs, maize stover or wheat stalks) for producing electricity through gasification and compared these to coal-fired electricity production. The results showed that the main areas of concern for electricity production from biomass were from gasification and transport, contributing roughly 47% each to fossil fuel depletion, just over 46% each towards climate change, 44% and 40% towards particulate matter formation, and 32.8% and 33.2% towards land occupation, respectively. The impacts associated with wheat stalks and maize stover production were higher than those of the maize cobs system. Agricultural land occupation results for the production of 1 kg of maize cobs, maize stover and wheat straw were 4.83 * 10(-7), 4.76 * 10(-7) and 2.38 *10(-6) m(2), respectively, in one year, with similar trends for the other impact categories as well. The most significant impacts of using coal-fired methods of electricity generation were fossil fuel depletion, ozone depletion, natural land transformation, urban land occupation and climate change, with these burdens being over 90% higher than from the gasification of maize cobs. To improve the environmental performance of the biomass energy sector, improvements in agricultural practices should be implemented, including further research on fertilization, water use, agricultural practices, land transformation, biomass conversion technologies, and transportation.",1.0,"Comparative life-cycle assessment of maize cobs, maize stover and wheat stalks for the production of electricity through gasification vs traditional coal power electricity in South Africa"
"This study investigates the impact of ouzo production on the environment. Its novelty lies in the fact that it is the first study which focuses on the consequences that anise beverages production has on the environment. To carry out the study, the Life Cycle Assessment (LCA) was used and fifteen subsystems of the total production were investigated. The impact categories selected were global warming, acidification, eutrophication and photochemical oxidation. The production process significantly affects all four phenomena (with percentages of 63.58%, 43.53%, 10.09% and 17.31% respectively) and similarly does the subsystem of grape cultivation (with percentages of 8.88%, 22.84%, 27.12% and 30.82% respectively). Another subsystem seriously affecting these phenomena is the production/transportation of glass bottles (with percentages of 18.05%, 15.13%, 7.61% and 41.55% respectively). Moreover, an interesting result is that the ouzo production process has a higher environmental impact than the wine production process, as they have similar stages of their life cycle. It is vital certain measures be applied. Initially the use of renewable sources of energy such as solar power. Furthermore, the recycling of glass bottles and the use of bottles from other materials. Also, the use of alternative cultivation methods such as biodynamic and organic. These measures will be effective if combined with green maintenance policies by companies. The findings of this research can be a useful tool for industries to focus on the stages with the highest contribution to environmental pollution and minimize it.",1.0,Environmental assessment of ouzo production in Greece: A Life Cycle Assessment approach
"The sheep (Ovis cries) represents an important source of meat, milk, and wool for people in many countries. According to the latest data of Food and Agriculture Organization, there are about 1.2 billion sheep in the world. Almost all the grazing sheep flocks are infected with trichostrongylid parasites belonging to Hoemonchus, Teladorsagia, Cooperia, Trichostrongylus and Nematodirus genera of superfamily Trichostrongyloidea within the order Strongylida. Trichostrongylidosis caused by large numbers of gastrointestinal nematodes that reside in the abomasum and small intestine of the ruminant host. Infections with these nematodes represent a significant economic and welfare burden to the global ruminant livestock industry. However, the importance of the parasitosis can vary according to climatic zones and species. Low worm burdens usually have little impact on animal health. As worm numbers increase, subclinical effects and clinical signs, including weight loss, diarrhea, and anemia develop. Production losses through mortality and reduced weight gain have been reported by several authors. There is still a need to reduce these losses. In addition, climate change is likely to alter the geographical distribution of parasites and their impact on production animals. In order to control the infections, it is necessary to understand the general life cycle of the trichostrongylid parasites. A better understanding of the epidemiology and biology of parasites are essential to the effective control strategies. Trichostrongylidosis can occur in many Hungary sheep flocks but very few information have been published on this topic in the country. Therefore, the authors consider it timely to review the current knowledge of this parasitosis.",0.0,Trichostrongylidosis of sheep Literature review
"Spodoptera exigua Hubner (Lepidoptera: Noctuidae) is considered a polyphagous pest distributed worldwide with a wide range of hosts, and is also considered a serious plague for vegetables and ornamentals. The objective of this study was to explore the occurrence of entomopathogenic fungi in agricultural soils from Mexico and to evaluate its virulence and effect on the life cycle of S. exigua. Selected isolates (HEB1 and y01) were used to perform toxicity bioassays on neonatal larvae of S. exigua; additionally, the GHA (Beauveria bassiana), Pfr-612 (Cordyceps fumosorosea), Ma, and 2 isolates HIB-11 and HIB-12 (Metarhizium anisopliae) were included to obtain the median lethal concentration (LC50) and the median lethal time (LT50). Also, the life cycle of the surviving individuals was followed up after treatment to document the effects of the entomopathogenic fungi application. The isolates belong to 2 different species, which are Beauveria bassiana (Bals.-Criv.) Vuill. (Hypocreales: Cordycipitaceae) and Cordyceps fumosorosea (Wize) Kepler, B. Shrestha & Spatafora (Hypocreales: Cordycipitaceae) (formerly Isaria fumosorosea). In toxicity tests, the isolate HIB-12 of Metarhizium anisopliae (Metschnikoff) Sorokin (Hypocreales: Cordycipitaceae) showed better mortality results against S. exigua than the other fungi evaluated with LC50 of 3.17 x 106 conidia per mL. The lethal time of LT50 oscillated between 3 to 5 d and the HIB-12 isolate had the lowest lethal time (3.15 d). During the monitoring of the biological cycle after treatment, the greatest interruption of the metamorphosis was caused by the GHA strain, while the Ma strain was the one that induced the slightest interruption of the biological cycle. These results show the feasibility of using strains of M. anisopliae for control of larval stages of S. exigua and their possible formulation for agricultural use, as well as opening a way for the exploration and research of mechanisms or metabolites involved in the interruption of metamorphosis due to the application of entomopathogenic fungi, specifically B. bassiana.",0.0,Isolation of native strains of entomopathogenic fungi from agricultural soils of northeastern Mexico and their virulence on Spodoptera exigua (Lepidoptera: Noctuidae)
"Maize is one of the most important crops in the world, particularly in Mexico where it was domesticated and is central to traditional cultures. The fall armyworm (Spodoptera frugiperda [J.E. Smith]), is a major pest that can greatly reduce production of this crop. Climate change also threatens maize production, as projections estimate an increase of fall armyworm outbreaks. For these reasons, (1) we assessed the changes in the S. frugiperda life cycle along a temperature gradient ranging from 23 degrees C to 31 degrees C, and (2) assessed the development of larvae feeding on two Mexican landraces and the responses of each landrace to herbivory under current and predicted climatic conditions; both assessments were conducted under laboratory conditions. Development was faster and each life cycle stage was shorter at higher temperatures. The effect of herbivory differed between the landraces; herbivory was more harmful for White Ranchero than for Yellow. As warmer and drier conditions are expected during this century, sowing appropriate maize landraces that can cope with herbivores under climate change could mitigate potential economic losses.",0.0,Climate change can trigger fall armyworm outbreaks: a developmental response experiment with two Mexican maize landraces
"BACKGROUND The European earwig, Forficula auricularia (L.) (Dermaptera: Forficulidae), is regarded as an important beneficial in many orchard environments but has the potential to be a plant pest in other systems, including to grain crops. Due to its agricultural importance, the lifecycle of F. auricularia has been widely studied in North America and Europe. However, much less is known in the southern hemisphere, including Australia where F. auricularia has been present for over 170 years. RESULTS To elucidate the lifecycle of F. auricularia, we monitored five sites in grain-growing areas of southern Australia using two different trap types. Adults were found year-round, but most prevalent from late-spring to mid-winter. First instars were typically found from mid to late winter. Second, third and fourth instars occurred from winter through to late spring. The seasonal development of F. auricularia in Australia may be much earlier than observed in comparable North American studies. Degree day modelling highlights variation in development times across the active season for F. auricularia across our sites. CONCLUSION Forficula auricularia is well adapted to the Australian grain growing environments. The timing of egg hatching aligns closely with crop emergence, juveniles then develop alongside the crop, and adult development occurs by harvest time in late spring. These findings are important given that many of these crops (canola, lucerne, pulses) are vulnerable to attack by F. auricularia during emergence and development. They also suggest a phenotypic capacity of this species to adapt different phenology after introduction into a novel environment.",0.0,"Lifecycle of the invasive omnivore, Forficula auricularia, in Australian grain growing environments"
"Greenhouse gas emissions are a central environmental concern in China, and quantifying the carbon footprint of crop production can help identify key options for mitigating greenhouse gas emissions from agriculture. Using two-year farm survey data from a typical pomelo production area in China, the carbon footprint of a pomelo orchard was assessed by quantifying the greenhouse gas emissions from farming inputs and operations with a full life cycle assessment methodology. The carbon emission and carbon sequestration levels were 19.9 and 3.43 t CO2 eq ha(-1), respectively. The farm carbon footprint and product carbon footprint were 16.5 t CO2 eq ha(-1) and 0.33 t CO2 eq t(-1), respectively, which were 3.8 and 1.5 times greater than the corresponding mean values for other fruit orchards in different areas of the world. Compared with farms with low yield and high carbon footprint, farms with high yield and low carbon footprint reduced nitrogen fertilizer input significantly, by 44.7%. Furthermore, the yield of farms which with high yield and low carbon footprint increased significantly by 69.4%, and the farm carbon footprint and product carbon footprint significantly decreased by 40.7% and 67.2%, respectively, compared to those of farms with low yield and high carbon footprint. The synthetic nitrogen fertilizer application rate was significantly linearly correlated with, and contributed 84.7% to the carbon footprint of pomelo production. The relationships between the carbon footprint and the nitrogen partial factor productivity also indicated that improving nitrogen utilization can effectively reduce greenhouse gas emissions. In addition, based on group analysis, the difference in carbon footprint among farm groups was also mainly due to nitrogen fertilization. Reducing costs can significantly improve carbon efficiency without affecting the economic benefit at similar yield levels. Therefore, the carbon intensity of pomelo production in China could be reduced primarily by reducing excessive nitrogen fertilizer application and potentially increasing nitrogen use efficiency. Apart from this, these differences could be implemented by modifying farming fertilization strategies and farm size. Overall, this study highlights the importance of strengthening nitrogen management in pomelo production based on agricultural practices as well as upscaling farm size, which could achieve higher yields with lower greenhouse gas emissions and thereby avoid tradeoffs between productivity and carbon costs. (C) 2020 Elsevier Ltd. All rights reserved.",1.0,Carbon footprint of a typical pomelo production region in China based on farm survey data
"Environmental contamination with pharmaceuticals is widespread, inducing risks to both human health and the environment. This paper explores potential societal solutions to human and veterinary pharmaceuticals in the aquatic environment. To this end, we adopt transition research's multi-level perspective framework, which allows us to understand the dynamics underlying pharmaceutical emissions and to recognize social and technical factors triggering change. Our qualitative analysis is based on data collected through literature research and interviews with actors from pharmaceutical industry, the health and agricultural sector. The research aims at identifying potential future solutions including requirements for as well as barriers to pathways leading to these solutions and describing the role of key actors involved. The three alternative societal solutions identified are: 1) accepting pharmaceuticals in the environment - substantial changes to the system are not required; 2) reconfiguring the current system by implementing various innovations that reduce pharmaceutical emissions; 3) fundamentally changing the current system to (largely) avoid pharmaceutical emissions. The paper further elicits societal, financial, organizational, regulatory and technological requirements that can facilitate implementation of these solutions. This work is novel as it constitutes a systemic view on all stages of the pharmaceutical lifecycle, comprehensively synthesizing options and measures along the entire lifecycle into societal solutions that are framed as transition pathways. Deriving societal solutions from key actor's perspectives is innovative and provides insights to reflect on choices societies are going to have to make regarding pharmaceuticals in the environment. (C) 2020 The Authors. Published by Elsevier Ltd.",0.0,Alternative societal solutions to pharmaceuticals in the aquatic environment
"Chemical weed control has been widely adopted and has led to increased efficiency and reduced crop production costs. With the increased use of herbicides and the introduction of herbicide-tolerant crops we have also seen an increase in herbicide resistant weeds which presents a challenge for farmers and land managers. It is incumbent upon the agriculture industry to be an indispensable partner in leading policy, research, education, and best management practices related to herbicide resistance. Corteva Agriscience is an active, engaged partner in herbicide resistance research, education, and communication globally to enable the long-term sustainable use of herbicide-tolerant crop traits and herbicides. Some of the key components of our commitment are highlighted in this Perspective paper and include memberships, partnerships, close involvement with CropLife International (and regional CropLife organizations), and Herbicide Resistance Action Committees at the Global, regional and country level, technical leadership and engagement in multiple scientific societies, and collaboration with universities and research institutes. Corteva is committed to advancing sustainable agriculture to enrich lives and our planet for generations to come and this drives our action through the entire product lifecycle and with our customers and consumers.",0.0,Corteva Agriscience's perspective and commitment to managing herbicide resistance
"Although the agricultural sector is globally a main emitter of greenhouse gases, thorough economic analysis of environmental and social externalities has not yet been conducted. Available research assessing agricultural external costs lacks a differentiation between farming systems and food categories. A method addressing this scientific gap is established in this paper and applied in the context of Germany. Using life-cycle assessment and meta-analytical approaches, we calculate the external climate costs of foodstuff. Results show that external greenhouse gas costs are highest for conventional and organic animal-based products (2.41Euro/kg product; 146% and 71% surcharge on producer price level), followed by conventional dairy products (0.24Euro/kg product; 91% surcharge) and lowest for organic plant-based products (0.02Euro/kg product; 6% surcharge). The large difference of relative external climate costs between food categories as well as the absolute external climate costs of the agricultural sector imply the urgency for policy measures that close the gap between current market prices and the true costs of food. Agricultural greenhouse gas emissions not only amplify the global climate crisis, but cause damage currently unaccounted for by food prices. Here the authors show the calculation of prices with internalized climate costs for food categories and production systems, revealing strong market distortions.",1.0,Calculation of external climate costs for food highlights inadequate pricing of animal products
"Under the hypothesis that organically managed cacao agroforestry systems report a lower global warming potential (GWP) and reduce other environmental pressure indicators compared with conventionally managed systems and monocultures, this work discusses how global transportation can cut back the ecological advantage of the production phase. For this purpose, the life cycle assessment (LCA) of 1 kg of dark chocolate manufactured with Ecuadorian cacao has been performed (cradle-to-retailer approach), including the indirect impacts of transportation and estimating the equilibrium distances beyond which organic chocolate would have a higher impact than chocolate manufactured from cacao grown in monocultures and/or conventionally managed systems. To articulate the discussion, the carbon footprint (CF) of cacao/chocolate was analyzed together with 10 additional LCA-related impact categories. Three management systems-conventional monoculture (CM) and agroforestry (CA), and organic agroforestry (OA)-and three different supply chain scenarios with different weights in the transportation phase were studied. Expanding on the concept of food miles, the equivalent kilometers of the impact of emissions (km-eq) (or cumulated energy demand, eutrophication, etc.) were defined as the variable distance that a certain means of transportation can travel in relation to a fixed level of GHG emissions (or MJ, kg PO4-eq, etc.). The CF of the life cycle of cacao/chocolate was estimated at between 2.04 and 4.66 kg CO2-eq kg(-1). The relative weight of transportation in relation to the total GHG emissions ranged between 8.9% and 51.1%, with cacao/chocolate traveling between 1380 and 9155 km-eq. The CF of chocolate made from cacao grown in OA systems was 22.7%-34.2% and 6.3%-10.7% lower than the CF of chocolate produced from cacao grown in CM and CA and manufactured and transported under the same conditions. The equilibrium distances between managements were estimated at 1213 and 5275 km-eq. Beyond those equivalent kilometers, organic chocolate would have a larger CF than chocolate manufactured from cacao grown, respectively, in CA and CM systems. Our results indicate that transportation would cancel out this and most other comparative ecological advantages of producing organic cacao analyzed in this work. Directly exporting chocolate from cacao-producing countries and relocating chocolate manufacture would help reduce GHG emissions and other environmental impacts of the supply chain.",1.0,Transportation can cancel out the ecological advantages of producing organic cacao: The carbon footprint of the globalized agrifood system of ecuadorian chocolate
"Biochar is considered to sequester C and deliver other soil ecosystem services, but an overview that synthesizes the current knowledge of biochar implications on all essential soil ecosystem services is difficult to find in the ample biochar literature. Most previous research and review articles on this topic focused on a single ecosystem service and did not integrate all essential soil ecosystem services. This overview paper (1) synthesizes the impacts of biochar on water and wind erosion, C sequestration, soil water, nutrient leaching, soil fertility, crop yields, and other soil ecosystem services based on published literature and (2) highlights remaining research areas. Literature indicates that, in addition to sequestering C, biochar can reduce N2O emissions, nitrate leaching, and runoff; increase soil microbial biomass, plant available water, and crop yields (particularly in tropical regions), and CO2 emissions; and have small or no effects on water and wind erosion. Biochar benefits can be in this order: C sequestration > N2O emissions > Nitrate leaching > Available water > Soil biology > Soil fertility > Crop yields > Runoff. However, literature also indicates that biochar does not always improve all ecosystem services. Its benefits depend on biochar feedstock, pyrolysis temperature, application rate, biochar properties, soil properties, climate, and other factors. For example, biochar can enhance crop yields more in degraded and low fertility soils than in highly fertile and fine-textured soils. Long-term (>3 years) field-scale studies under different soil types, management conditions, and climates are needed for a determination of optimum levels of application, comprehensive life-cycle analysis, and assessment of agronomic and environmental tradeoffs. Overall, biochar can improve most soil ecosystem services, but the extent of such improvement is highly dependent on biochar properties and soil and climatic conditions.",0.0,Does biochar improve all soil ecosystem services?
"There is growing interest in re-localization and re-connection of agriculture and food consumption, and Short Food Supply Chains (SFSCs) are becoming more and more popular. However, there are few studies on their environmental performance. Existing studies focus primarily on comparing imports and domestic consumption, often according to a single environmental criterion (i.e., energy or carbon footprint), without considering the great diversity of subnational commercialization patterns. This paper aims at assessing the environmental sustainability of different archetypes of food supply chains, from global ones to short ones, to identify hotspots and discuss the conditions under which a given supply chain performs better than another one. The overall methodology is based on a full Life Cycle Assessment (LCA) with a focus on a fresh and unprocessed product: apples purchased in an urban area. First, a consistent definition and classification of supply chains, is provided based on geographical and organizational features. An innovative approach is then developed to compute logistics data representative of these supply chains, using Geographic Information System tools. Finally, a comparison of the environmental performances of archetypes of apple supply chains is provided. The results show the relatively good environmental performance of the national long food supply chain which is used as the reference scenario in this study. Moreover, there are great differences in the environmental performance of SFSCs. Direct off-farm sales have the same level of performance as the reference. On the other hand, direct on-farm sales can be very impactful. Results also highlight the impacts of the final consumer trip which are significant and highly variable, depending on consumer-retailer distance, weight of apples purchased, and transport means used. This variability leads to reconsidering the questions frequently asked in LCAs of systems with extreme sensitivity to highly variable parameters. The concern is no longer whether one scenario is better than another, but to determine the values of those parameters that allow for better performance. Focusing on these parameters has direct implications in terms of decision-making by providing straightforward results with operational recommendations that are understandable to the general public, and not only LCA indicators. (C) 2020 Elsevier Ltd. All rights reserved.",0.0,To what extent are short food supply chains (SFSCs) environmentally friendly? Application to French apple distribution using Life Cycle Assessment
"Soil salinity often hinders plant productivity in both natural and agricultural settings. Arbuscular mycorrhizal fungal (AMF) symbionts can mediate plant stress responses by enhancing salinity tolerance, but less attention has been devoted to measuring these effects across plant-AMF studies. We performed a meta-analysis of published studies to determine how AMF symbionts influence plant responses under non-stressed vs. salt-stressed conditions. Compared to non-AMF plants, AMF plants had significantly higher shoot and root biomass (p < 0.0001) both under non-stressed conditions and in the presence of varying levels of NaCl salinity in soil, and the differences became more prominent as the salinity stress increased. Categorical analyses revealed that the accumulation of plant shoot and root biomass was influenced by various factors, such as the host life cycle and lifestyle, the fungal group, and the duration of the AMF and salinity treatments. More specifically, the effect of Funneliformis on plant shoot biomass was more prominent as the salinity level increased. Additionally, under stress, AMF increased shoot biomass more on plants that are dicots, plants that have nodulation capacity and plants that use the C3 plant photosynthetic pathway. When plants experienced short-term stress (<2 weeks), the effect of AMF was not apparent, but under longer-term stress (>4 weeks), AMF had a distinct effect on the plant response. For the first time, we observed significant phylogenetic signals in plants and mycorrhizal species in terms of their shoot biomass response to moderate levels of salinity stress, i.e., closely related plants had more similar responses, and closely related mycorrhizal species had similar effects than distantly related species. In contrast, the root biomass accumulation trait was related to fungal phylogeny only under non-stressed conditions and not under stressed conditions. Additionally, the influence of AMF on plant biomass was found to be unrelated to plant phylogeny. In line with the greater biomass accumulation in AMF plants, AMF improved the water status, photosynthetic efficiency and uptake of Ca and K in plants irrespective of salinity stress. The uptake of N and P was higher in AMF plants, and as the salinity increased, the trend showed a decline but had a clear upturn as the salinity stress increased to a high level. The activities of malondialdehyde (MDA), peroxidase (POD), and superoxide dismutase (SOD) as well as the proline content changed due to AMF treatment under salinity stress. The accumulation of proline and catalase (CAT) was observed only when plants experienced moderate salinity stress, but peroxidase (POD) and superoxide dismutase (SOD) were significantly increased in AMF plants irrespective of salinity stress. Taken together, arbuscular mycorrhizal fungi influenced plant growth and physiology, and their effects were more notable when their host plants experienced salinity stress and were influenced by plant and fungal traits.",0.0,Plant Salinity Tolerance Conferred by Arbuscular Mycorrhizal Fungi and Associated Mechanisms: A Meta-Analysis
"Regenerative agriculture is a newly codified approach to agriculture that emphasizes reducing reliance on exogeneous inputs, as well as restoring and enhancing ecosystem services such as soil carbon (C) sequestration. These regenerative agriculture principles suggest that modern livestock systems can be redesigned to better capitalize on animals' ecological niche as biological up cyclers and may be necessary to fully regenerate some landscapes. One example is a multispecies pasture rotation (MSPR) system, which symbiotically stacks multiple animal production enterprises (i.e., chickens, cattle, sheep, and pigs) on one landscape. We conducted a whole-farm life cycle assessment (LCA) of an MSPR in the southeastern United States that was originally converted from degraded cropland. We compared the production outputs, greenhouse gas (GHG) emissions, land footprints, and soil health outcomes to a conventional, commodity (COM) production system of each respective species. Our 20-year MSPR chronosequence of soil C and other soil health indicators shows dramatic improvement since establishment, sequestering an average of 2.29 Mg C ha(-1) yr(-1). Incorporation of soil C sequestration into the LCA reduced net GHG emissions of the MSPR by 80%, resulting in a footprint 66% lower than COM. However, when comparing required land between the two systems for food production, MSPR required 2.5 times more land when compared to COM. Thus, while our model indicates that MSPR can simultaneously produce protein while regenerating land, a considerably greater land area is needed when compared to COM. Our results present an important yet paradoxical conclusion on land and food production balance. Should society prioritize an input-intensive, COM system that produces more food from a smaller yet degrading land base? Or, alternatively, should systems such as MSPR that produce less food on a larger, but more ecologically functional landscape be more highly prioritized? These complexities must be considered in the global debate of agricultural practice and land. Our results indicate MSPRs are a useful model for alternative livestock production systems with improved environmental outcomes, but in this study may present considerable land-use tradeoffs.",1.0,Ecosystem Impacts and Productive Capacity of a Multi-Species Pastured Livestock System
"Life cycle assessment (LCA) entails the analysis of potential environmental loads and natural resources utilised while manufacturing a product, which helps in sustainable production of biofuel and prudent management of natural resources. A variety of bio resources including microalgae are being explored for its potential as viable alternatives to conventional fossil fuels. This communication presents the lifecycle assessment of biodiesel production from microalgae and valorisation of other value-added products. Comparative assessment of feed-stock cultivation was done by considering varied nutrient inputs - (i) no nutrient input (scenario 1), (ii) wastewater as nutrient input (scenario 2) and (iii) fertiliser input (scenario 3). Two different transesterification techniques followed for converting microalgal oil into biodiesel were i) acid catalyst and ii) biocatalyst. Environmental impacts of different scenarios considered were assessed using OpenLCA v1.10.3, which highlights higher eutrophication and photochemical oxidation related emissions for fertiliser input scenario with acid catalyst based transesterification. However, significant reductions in environmental impacts with minimal GHG footprint was observed with wastewater use for cultivating algae and transesterification through biocatalyst. Life cycle assessment of three different scenarios revealed a fossil energy requirement variation between 3.6 and 5.7 MJ/kg and the greenhouse gas emission (as kg equivalent CO2 emissions) of 0.85-1.46 kg CO2eq.kg(-1) of biodiesel. This highlights a reduction in fossil energy requirement of about 87.3% in the pilot substrate-based microalgal bioreactor. Wastewater - biocatalyst scenario exhibited a highest net energy ratio (NER) of 18.8 with an additional benefit of low cost remediation of wastewater.",0.0,Life cycle assessment of biodiesel from estuarine microalgae
"The paper deals with the prediction of life cycle costs related to special motor vehicles. In the first part, there is an analysis of the applied commercial software programs used for calculating and predicting the life cycle cost of vehicles. Next, there is a description of risks which might occur when calculating the life cycle cost and of the possible risk management. In the second part of the paper it is suggested that the motor vehicle life cycle cost can be predicted based on accurate data which are generally difficult to obtain, e.g. failure intensity z(t) or mean time between failures (MTBFs) used for calculating the cost after maintenance. The final part includes a proposal for the prediction of the ownership life cycle cost which consists of the operating and maintenance costs of special motor vehicles. This proposal is based on the company logistic information system, which at regular intervals assesses special vehicle life cycle cost during operation and maintenance. Under special motor vehicles here we understand the vehicles which are equipped with a chassis and a special vehicle superstructure which consumes operation units and on which maintenance is performed. Such vehicles are used in the construction or agricultural industry as well as in the military environment. The paper focuses on the design of a prediction model of the ownership life cycle cost of the military environment, where a relevant military logistic information system is used.",0.0,THE MODEL PREDICTION OF LIFE CYCLE OWNERSHIP COSTS OF SPECIAL MOTOR VEHICLES
