model,DOI,Article Title,Label,baseline_prediction,methods_prediction,baseline_input_tokens,methods_input_tokens,token_delta,baseline_generated_tokens,methods_generated_tokens,baseline_elapsed_seconds,methods_elapsed_seconds,elapsed_delta_seconds,baseline_peak_allocated_mb,methods_peak_allocated_mb,peak_allocated_delta_mb,baseline_peak_reserved_mb,methods_peak_reserved_mb,peak_reserved_delta_mb
Qwen/Qwen3.5-9B,10.1016/j.watres.2024.122741,"Consequential life cycle assessment of urban source-separating sanitation systems complementing centralized wastewater treatment in Lund, Sweden",1,1,1,642,1024,382,4,4,0.45192707190290093,1.8499840260483325,1.3980569541454315,7529.93359375,7606.013671875,76.080078125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2017.03.094,Carbon footprint of urban source separation for nutrient recovery,1,1,1,522,1024,502,4,4,0.43206093460321426,0.5031794467940927,0.07111851219087839,7502.59423828125,7606.013671875,103.41943359375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.wasman.2023.09.012,Opportunities for centralized regional mode of manure and sewage management in pig farming: The evidence from environmental and economic performance,1,1,1,567,1024,457,4,4,0.43320838175714016,1.0243970099836588,0.5911886282265186,7506.837890625,7606.013671875,99.17578125,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2018.09.023,"Gate-to-gate environmental impacts of dairy processing products in Thiruvananthapuram, India",1,1,1,560,1024,464,4,4,0.49124446883797646,0.5259080971591175,0.034663628321141005,7506.1767578125,7606.013671875,99.8369140625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.ecoleng.2023.107015,Environmental performance of constructed wetland planted with monocultures and polycultures for wastewater treatment,1,1,1,548,1024,476,4,4,0.4746074639260769,0.49431031895801425,0.01970285503193736,7505.0458984375,7606.013671875,100.9677734375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.watres.2023.120109,Climate change impacts of conventional sewage sludge treatment and disposal,1,1,1,515,1024,509,4,4,0.4814698528498411,0.48555266996845603,0.004082817118614912,7501.93359375,7606.013671875,104.080078125,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2021.129048,Assessing socio-economic value of innovative materials recovery solutions validated in existing wastewater treatment plants,0,0,0,550,1024,474,4,4,0.46876832330599427,0.48779020737856627,0.019021884072571993,7505.23486328125,7606.013671875,100.77880859375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2023.164612,Enhanced biomethane production with a low carbon footprint via anaerobic co-digestion of swine wastewater with rice husk,1,1,1,725,1024,299,4,4,0.47344052931293845,0.4863259172998369,0.012885387986898422,7545.77197265625,7606.013671875,60.24169921875,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jece.2022.108446,Life cycle assessment instructed preparation of wood-based filtration device with efficient water purification and oil reclamation by deep eutectic solvent,1,1,1,450,1024,574,4,4,0.4305741786956787,0.5123041169717908,0.08172993827611208,7487.79248046875,7606.013671875,118.22119140625,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.wasman.2024.09.021,Technical and environmental assessment of sludge-derived slag generated from high temperature slagging co-gasification process as a sustainable construction material,1,1,1,548,1024,476,4,4,0.4385117571800947,0.48526290711015463,0.04675114993005991,7505.0458984375,7606.013671875,100.9677734375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2023.137227,Incorporation of main line impact into life cycle assessment of nutrient recovery from reject water using novel membrane contactor technology,1,1,1,520,1024,504,4,4,0.45309948921203613,0.4921034467406571,0.03900395752862096,7502.40380859375,7606.013671875,103.60986328125,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2019.03.029,Improving the resource footprint evaluation of products recovered from wastewater: A discussion on appropriate allocation in the context of circular economy,0,1,1,542,1024,482,4,4,1.9433704428374767,0.49243736965581775,-1.450933073181659,7504.47998046875,7606.013671875,101.53369140625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2015.06.109,Environmental and economic analysis for the optimal reuse of water in a residential complex,1,1,1,365,1024,659,4,4,0.4507179679349065,0.4864023611880839,0.035684393253177404,7463.7548828125,7606.013671875,142.2587890625,7486.0,7626.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2022.155777,Resource-oriented sanitation: Identifying appropriate technologies and environmental gains by coupling Santiago software and life cycle assessment in a Brazilian case study,1,1,1,558,1024,466,4,4,1.9167209709994495,0.5046038557775319,-1.4121171152219176,7505.9892578125,7606.013671875,100.0244140625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jece.2024.113901,Gasification performance of wet hydrochar from co-hydrothermal carbonization of high-moisture sludge and fungus bran,1,1,1,762,1024,262,4,4,0.4894029418937862,0.48688117368146777,-0.0025217682123184204,7549.26220703125,7606.013671875,56.75146484375,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2024.174481,Residual biomasses at scale: Ensuring future bioeconomy uses outperform current baseline,1,1,1,615,1024,409,4,4,0.4416748909279704,1.8113325010053813,1.369657610077411,7519.37548828125,7606.013671875,86.63818359375,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2021.148832,"Full-scale municipal sludge pyrolysis in China: Design fundamentals, environmental and economic assessments, and future perspectives",1,1,1,605,1024,419,4,4,0.4384929072111845,0.5437734788283706,0.10528057161718607,7518.43310546875,7606.013671875,87.58056640625,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2021.128815,Operational carbon footprint of the US water and wastewater sector's energy consumption,1,1,1,624,1024,400,4,4,0.45717758499085903,1.9542119191028178,1.4970343341119587,7520.2236328125,7606.013671875,85.7900390625,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2021.111966,Incineration of sewage sludge and recovery of residue ash as building material: A valuable option as a consequence of the COVID-19 pandemic,0,0,0,582,1024,442,4,4,0.4505082843825221,0.5271308459341526,0.0766225615516305,7516.26318359375,7606.013671875,89.75048828125,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.envres.2024.119168,A whole process study of dual microalgae cultivation coupled to domestic wastewater treatment and wheat growth,0,0,0,442,1024,582,4,4,0.4231323511339724,1.0012390338815749,0.5781066827476025,7479.0283203125,7606.013671875,126.9853515625,7488.0,7628.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2024.121936,Feasibility of organic micropollutant removal from municipal wastewaters by algal treatment vs. activated sludge treatment: Comparison based on non-targeted organic compound analysis,0,0,0,557,1024,467,4,4,0.44276027800515294,0.49387238128110766,0.05111210327595472,7505.8955078125,7606.013671875,100.1181640625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2021.148564,An eco-efficiency analysis of refinery effluent pretreatments for water reuse under a Zero Liquid Discharge regime,1,1,1,591,1024,433,4,4,0.46668115025386214,0.48621669318526983,0.01953554293140769,7517.111328125,7606.013671875,88.90234375,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2022.155017,"Low doses and lifecycle exposure of waterborne antidepressants in zebrafish model: A survey on sperm traits, reproductive behaviours, and",0,0,0,555,1024,469,4,4,1.98792686406523,0.5048764580860734,-1.4830504059791565,7505.70654296875,7606.013671875,100.30712890625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.watres.2021.117554,From wastewater treatment to water resource recovery: Environmental and economic impacts of full-scale implementation,1,1,1,654,1024,370,4,4,0.5369198718108237,0.49182034097611904,-0.04509953083470464,7531.064453125,7606.013671875,74.94921875,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2017.07.021,Comprehensive water footprint assessment of the dairy industry chain based on ISO 14046: A case study in China,1,1,1,562,1024,462,4,4,1.971245441120118,0.4868972930125892,-1.4843481481075287,7506.36767578125,7606.013671875,99.64599609375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.biortech.2024.131815,Policy impact on economic and environmental sustainability of anaerobic digestion: Industrial case study Insights,1,1,1,410,1024,614,4,4,0.4637850997969508,0.48768565990030766,0.023900560103356838,7476.009765625,7606.013671875,130.00390625,7486.0,7626.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.apenergy.2019.113560,Utilising carbon dioxide for transport fuels: The economic and environmental sustainability of different Fischer-Tropsch process designs,1,1,1,574,1024,450,4,4,1.5443825600668788,0.6304786866530776,-0.9139038734138012,7507.49853515625,7606.013671875,98.51513671875,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2022.154474,An environmental assessment for municipal organic waste and sludge treated by hydrothermal carbonization,1,1,1,529,1024,495,4,4,0.42904987279325724,0.5123246451839805,0.08327477239072323,7503.25537109375,7606.013671875,102.75830078125,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.envres.2023.117011,Trickling filter systems for sustainable water supply: An evaluation of eco-environmental burdens and greenhouse gas emissions,1,1,1,596,1024,428,4,4,0.43773450003936887,1.1560881016775966,0.7183536016382277,7517.58349609375,7606.013671875,88.43017578125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2015.09.038,Shale gas wastewater management under uncertainty,0,0,0,573,1024,451,4,4,0.4977569980546832,0.4967780620791018,-0.0009789359755814075,7507.40478515625,7606.013671875,98.60888671875,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2021.112551,Can thermal intensification be considered a sustainable way for greening Fenton processes?,1,1,1,709,1024,315,4,4,0.5080642220564187,0.486031801905483,-0.02203242015093565,7544.2626953125,7606.013671875,61.7509765625,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.energy.2022.125340,Holistic Life Cycle Assessment of a biogas-based electricity generation plant in a pig farm considering co-digestion and an additive,1,1,1,511,1024,513,4,4,0.431887349113822,0.48744926787912846,0.05556191876530647,7493.544921875,7606.013671875,112.46875,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2011.09.011,Boundaries matter: Greenhouse gas emission reductions from alternative waste treatment strategies for California's municipal solid waste,1,1,1,639,1024,385,4,4,0.4691716590896249,0.48836755380034447,0.019195894710719585,7521.63916015625,7606.013671875,84.37451171875,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2022.135206,The potential of mitigating greenhouse gas emissions from urban domestic water systems in highly urbanized areas,1,1,1,743,1024,281,4,4,1.9783599600195885,0.48635688005015254,-1.492003079969436,7547.46875,7606.013671875,58.544921875,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2018.05.062,Conceptual environmental impact assessment of a novel self-sustained sanitation system incorporating a quantitative microbial risk assessment approach,1,1,1,589,1024,435,4,4,0.48026104690507054,0.48858961975201964,0.0083285728469491,7516.923828125,7606.013671875,89.08984375,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2018.02.021,Carbon footprint of integrated waste management systems with implications of food waste diversion into the wastewater stream,1,1,1,541,1024,483,4,4,1.969418615102768,0.48831613874062896,-1.481102476362139,7504.38623046875,7606.013671875,101.62744140625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2022.133978,Towards sustainable aquaculture systems: Biological and environmental impact of replacing fishmeal with Arthrospira platensis (Nordstedt) (spirulina),1,1,1,744,1024,280,4,4,0.5535840168595314,0.48568630777299404,-0.06789770908653736,7547.5625,7606.013671875,58.451171875,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2024.143052,A comprehensive comparison between two strategies to produce polyhydroxyalkanoates from domestic sewage sludge,1,0,0,580,1024,444,4,4,2.0028064479120076,0.48646913887932897,-1.5163373090326786,7516.07421875,7606.013671875,89.939453125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2014.09.003,Scenarios for sewage sludge reduction and reuse in clinker production towards regional eco-industrial development: a comparative emergy-based assessment,1,1,1,685,1024,339,4,4,0.5265389271080494,0.4880497199483216,-0.03848920715972781,7533.9892578125,7606.013671875,72.0244140625,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2018.06.140,The tradeoff between water and carbon footprints of Barnett Shale gas,1,1,1,451,1024,573,4,4,2.034334175288677,0.4868157678283751,-1.5475184074603021,7487.88623046875,7606.013671875,118.12744140625,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jhazmat.2021.128069,"Co-combustion, life-cycle circularity, and artificial intelligence-based multi-objective optimization of two plastics and textile dyeing sludge",0,0,0,575,1024,449,4,4,0.49406841304153204,0.48564047971740365,-0.00842793332412839,7507.59228515625,7606.013671875,98.42138671875,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.apenergy.2016.02.103,"Engineering, environmental and economic performance evaluation of high-gravity carbonation process for carbon capture and utilization",1,1,1,551,1024,473,4,4,1.975518993102014,0.48621432390064,-1.489304669201374,7505.32861328125,7606.013671875,100.68505859375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2018.05.161,Integrated multi-objective optimization framework for urban water supply systems under alternative climates and future policy,1,1,1,607,1024,417,4,4,0.47336089983582497,0.48638319596648216,0.013022296130657196,7518.62060546875,7606.013671875,87.39306640625,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2022.159159,Assessment of cross-media effects deriving from the application of lower emission standards for acid pollutants in waste-to-energy plants,1,1,1,563,1024,461,4,4,1.6877615279518068,0.4920303258113563,-1.1957312021404505,7506.46142578125,7606.013671875,99.55224609375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2015.06.138,Biogas reduces the carbon footprint of cassava starch: a comparative assessment with fuel oil,1,1,1,632,1024,392,4,4,0.43906943686306477,0.5018487791530788,0.06277934229001403,7520.978515625,7606.013671875,85.03515625,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.rser.2023.113172,Prospective environmental impact assessment and simulation applied to an emerging biowaste-based energy technology in Europe,1,0,1,521,1024,503,4,4,0.4338540923781693,2.028035862836987,1.5941817704588175,7502.50048828125,7606.013671875,103.51318359375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2024.122622,A new paradigm for whole-chain low-carbon utilization of food waste secondary waste based on multivariate evaluations,1,1,1,467,1024,557,4,4,0.4245709292590618,0.5570964119397104,0.13252548268064857,7489.3955078125,7606.013671875,116.6181640625,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.cej.2024.153955,Entire co-combustion lifecycle of sewage sludge and water lettuce ( Pistia stratiotes L .) and its controls over energetic and environmental benefits,0,0,0,576,1024,448,4,4,0.43205045396462083,0.768605865072459,0.33655541110783815,7507.68603515625,7606.013671875,98.32763671875,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.watres.2024.121954,Nanoconfined Fe(II) releaser for long-term arsenic immobilization and its sustainability assessment,1,1,1,496,1023,527,4,4,0.42849021777510643,0.4881231412291527,0.05963292345404625,7492.12939453125,7605.919921875,113.79052734375,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.biombioe.2024.107415,Thermodynamic and environmental analysis of two-stage series supercritical water gasification of biomass for hydrogen production,1,1,1,545,1024,479,4,4,0.4786843219771981,0.4854958411306143,0.006811519153416157,7504.7646484375,7606.013671875,101.2490234375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.rser.2023.114269,Embodied energy and greenhouse gas emissions from wastewater reuse strategies in Indian Himalayan region,1,1,1,571,1024,453,4,4,0.4566590851172805,0.48679064121097326,0.03013155609369278,7507.2158203125,7606.013671875,98.7978515625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2014.05.010,Multi-objective optimization of waste and resource management in industrial networks - Part I: Model description,0,1,1,541,1024,483,4,4,0.452198404353112,0.4849749831482768,0.032776578795164824,7504.38623046875,7606.013671875,101.62744140625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2018.04.108,Assessing the sustainability of acid mine drainage (AMD) treatment in South Africa,1,1,1,604,1024,420,4,4,1.989448028150946,0.4877146119251847,-1.5017334162257612,7518.337890625,7606.013671875,87.67578125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2017.07.148,"The potential ecotoxicological impact of pharmaceutical and personal care products on humans and freshwater, based on USEtox™ characterization factors. A Spanish case study of toxicity impact scores",1,1,1,886,1024,138,4,4,0.5053870161063969,0.48528336314484477,-0.020103652961552143,7576.978515625,7606.013671875,29.03515625,7604.0,7624.0,20.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2013.09.043,Quantifying benefits of resource recovery from sanitation provision in a developing world setting,1,1,1,570,1024,454,4,4,0.42290169885382056,0.4865244338288903,0.06362273497506976,7507.1220703125,7606.013671875,98.8916015625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.biortech.2020.124045,Composition-oriented estimation of biogas production from major culinary wastes in an anaerobic bioreactor and its associated CO2 reduction potential,1,1,1,460,1024,564,4,4,0.46347667509689927,0.48754266602918506,0.024065990932285786,7488.734375,7606.013671875,117.279296875,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2023.165123,Comprehensive competitiveness assessment of four typical municipal sludge treatment routes in China based on environmental and techno-economic analysis,1,1,1,505,1024,519,4,4,1.9592309459112585,0.48419451899826527,-1.4750364269129932,7492.98095703125,7606.013671875,113.03271484375,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2020.121050,Water footprint assessment of silk apparel in China,1,1,1,569,1024,455,4,4,0.4683589469641447,0.5201354050077498,0.05177645804360509,7507.0283203125,7606.013671875,98.9853515625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.cej.2024.153767,Innovative ceramic membrane plate filtration system for sustainable semiconductor industry wastewater treatment: A pilot scale study,1,1,1,667,1024,357,4,4,0.48741159215569496,1.7561774770729244,1.2687658849172294,7532.291015625,7606.013671875,73.72265625,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jece.2024.112920,Interfacial solar evaporation driven Cd removal from contaminated sediments,1,1,1,449,1024,575,4,4,0.4228286538273096,0.5323422304354608,0.1095135766081512,7487.69873046875,7606.013671875,118.31494140625,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2020.111337,Alternative water supply solutions: China's South-to-North-water-diversion in Jinan,0,1,0,450,1024,574,4,4,0.42166360979899764,1.5429526939988136,1.121289084199816,7487.79248046875,7606.013671875,118.22119140625,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.seppur.2022.122907,Pressure-driven membrane nutrient preconcentration for down-stream electrochemical struvite recovery,1,1,1,600,1024,424,4,4,0.456079525873065,0.49144216114655137,0.035362635273486376,7517.9599609375,7606.013671875,88.0537109375,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.envpol.2017.11.049,Nest-defense behaviors in fathead minnows after lifecycle exposure to the antidepressant venlafaxine,0,0,0,720,1024,304,4,4,0.47701226687058806,0.4874847372993827,0.010472470428794622,7545.29833984375,7606.013671875,60.71533203125,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.watres.2022.119536,China's enhanced urban wastewater treatment increases greenhouse gas emissions and regional inequality,0,0,0,487,1024,537,4,4,1.952791026327759,0.5183125296607614,-1.4344784966669977,7491.28125,7606.013671875,114.732421875,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2015.10.006,"Analysis of profitability of rainwater harvesting, gray water recycling and drain water heat recovery systems",0,0,0,532,1024,492,4,4,0.4072802672162652,0.48714429885149,0.07986403163522482,7503.53662109375,7606.013671875,102.47705078125,7524.0,7624.0,100.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2021.106130,Extended use and optimization of struvite in hydroponic cultivation systems,1,1,0,631,1024,393,4,4,1.9723719987086952,0.48637166572734714,-1.486000332981348,7520.884765625,7606.013671875,85.12890625,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2023.168821,Simultaneous chelated heavy metals removal and sludge recovery through titanium coagulation: From waste to resource,1,1,1,620,1024,404,4,4,0.4925902602262795,0.4925040262751281,-8.6233951151371e-05,7519.84716796875,7606.013671875,86.16650390625,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.seppur.2020.117889,Comprehensive analysis of diverse biochemical treatment technologies of fixed-bed coal gasification wastewater from the perspective of different weight dimensions,1,1,1,443,1024,581,4,4,1.8814020636491477,0.4862210936844349,-1.3951809699647129,7479.1220703125,7606.013671875,126.8916015625,7488.0,7628.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.firesaf.2020.103071,Fire Impact Tool- Measuring the impact of fire suppression operations on the environment,0,1,1,460,1024,564,4,4,0.45434376085177064,0.4899836489930749,0.035639888141304255,7488.734375,7606.013671875,117.279296875,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2018.05.174,Carbon and nutrient recovery in the cultivation of Chlorella vulgaris: A life cycle assessment approach to comparing environmental performance,1,1,1,640,1024,384,4,4,0.44786737905815244,1.798426166176796,1.3505587871186435,7521.73291015625,7606.013671875,84.28076171875,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.spc.2022.12.001,Environmental assessment of a single-family photocatalytic greywater treatment system based on the design and operating conditions,1,1,1,677,1024,347,4,4,0.44907149439677596,0.5006893188692629,0.05161782447248697,7533.23486328125,7606.013671875,72.77880859375,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2019.104652,Bioethanol from corn stover - Integrated environmental impacts of alternative biotechnologies,1,1,1,568,1024,456,4,4,0.43137775268405676,1.3252130378969014,0.8938352852128446,7506.931640625,7606.013671875,99.08203125,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2019.119547,Eco-efficiency analysis of desalination by precipitation integrated with reverse osmosis for zero liquid discharge in oil refineries,1,1,1,587,1024,437,4,4,0.4263233379460871,0.49139747163280845,0.06507413368672132,7516.73486328125,7606.013671875,89.27880859375,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.chemosphere.2023.137987,Recent advances in CO2 fixation by microalgae and its potential contribution to carbon neutrality,1,1,1,414,1024,610,4,4,0.45062951697036624,0.4870219179429114,0.03639240097254515,7476.38623046875,7606.013671875,129.62744140625,7488.0,7628.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2020.122515,Environmental impact assessment from direct emissions of australian thermal power generation technologies,1,1,1,600,1024,424,4,4,2.0147593119181693,0.48803342087194324,-1.526725891046226,7517.9599609375,7606.013671875,88.0537109375,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2022.152985,Investigating the environmental costs of utilizing graphene-based adsorbents and pulsed power oxidation for the removal of emerging contaminants from urban wastewater,1,1,1,657,1024,367,4,4,0.5101147000677884,0.4837398398667574,-0.02637486020103097,7531.34912109375,7606.013671875,74.66455078125,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2024.107985,Urine luck: Environmental assessment of yellow water management in buildings for urban agriculture,1,1,1,444,1024,580,4,4,2.0532182990573347,0.4870040500536561,-1.5662142490036786,7479.2158203125,7606.013671875,126.7978515625,7488.0,7628.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2017.07.115,Environmental profile of Sardinian sheep milk cheese supply chain: A comparison between two contrasting dairy systems,1,1,1,577,1024,447,4,4,0.4760714126750827,0.48456035694107413,0.00848894426599145,7515.79296875,7606.013671875,90.220703125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.clwas.2023.100092,Environmental and economic assessment of household food waste source-separation efficiency in a German case study,1,1,1,555,1024,469,4,4,1.9615727299824357,0.48431340837851167,-1.477259321603924,7505.70654296875,7606.013671875,100.30712890625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.aquaculture.2019.734422,Production of exotic fish and Brazilian hybrids in similar conditions: Are there considerable differences of environmental performance?,1,1,1,743,1024,281,4,4,0.5639670398086309,0.48437730176374316,-0.07958973804488778,7547.46875,7606.013671875,58.544921875,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.cej.2023.144819,A circular economy strategy for valorizing industrial saline wastewaters: Techno-economics and environmental impacts,1,1,1,604,1023,419,4,4,2.0158933140337467,0.484857473988086,-1.5310358400456607,7518.337890625,7605.919921875,87.58203125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2023.166554,Techno-economic analysis of electricity generation from household sewage sludge in different regions of Nigeria,0,0,0,643,1024,381,4,4,0.5257050078362226,0.5097217811271548,-0.01598322670906782,7530.02734375,7606.013671875,75.986328125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2020.125034,Improved environmental sustainability and bioenergy recovery through pig manure and food waste on-farm co-digestion in Ireland,1,1,1,593,1023,430,4,4,1.965251439716667,0.4868636070750654,-1.4783878326416016,7517.30224609375,7605.919921875,88.61767578125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.rser.2021.111216,An economic viability and environmental impact assessment of mango processing waste-based biorefineries for co-producing bioenergy and bioactive compounds,1,1,1,586,1024,438,4,4,0.5030936063267291,0.4838832002133131,-0.019210406113415956,7516.64111328125,7606.013671875,89.37255859375,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2020.141097,Metabolomic profiling for juvenile Chinook salmon exposed to contaminants of emerging concern,0,0,0,564,1024,460,4,4,2.0192465940490365,0.48768117977306247,-1.531565414275974,7506.55517578125,7606.013671875,99.45849609375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.wasman.2019.04.054,Greenhouse gas savings and energy balance of sewage sludge treated through an enhanced intermediate pyrolysis screw reactor combined with a reforming process,1,1,1,511,1024,513,4,4,0.5010133138857782,0.4852010887116194,-0.01581222517415881,7493.544921875,7606.013671875,112.46875,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.cej.2024.152772,Assessing the Long-Term performance of an integrated microbial fuel Cell-Anaerobic membrane bioreactor for swine wastewater treatment,0,0,0,687,1024,337,4,4,2.019882776774466,0.48555640038102865,-1.5343263763934374,7534.1767578125,7606.013671875,71.8369140625,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jece.2023.111530,Multi-source and multimodal data fusion for improved management of a wastewater treatment plant,0,0,0,568,1024,456,4,4,0.5086884261108935,0.4858392970636487,-0.022849129047244787,7506.931640625,7606.013671875,99.08203125,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2020.124856,Environmental sustainability of municipal wastewater treatment through struvite precipitation: Influence of operational parameters,1,1,1,714,1024,310,4,4,1.95928519917652,0.48670759284868836,-1.4725776063278317,7544.734375,7606.013671875,61.279296875,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.wasman.2023.11.013,"Lean-circular maturity model (LCMM) for companies' self-assessment in terms of process, product and life cycle thinking",0,0,0,576,1024,448,4,4,0.474133319221437,0.48703040089458227,0.012897081673145294,7507.68603515625,7606.013671875,98.32763671875,7522.0,7624.0,102.0
